Sr_No,Code,Beneficiary_Bank,Total_Txns,CB_Ratio_Pct,CB_Received,Representment_Raised,CB_Accepted
412,CZS,Citizens Co-Operative Bank Ltd,42893,0.0000,0,0,0
413,JJL,The Junagadh Jilla Sahakari Bank Ltd,42532,0.0000,0,0,0
414,BAB,THE BABASAHEB DESHMUKH SAHAKARI BANK LTD,42054,0.0050,2,2,0
415,WUC,Warangal Urban Cooperative Bank Ltd,41717,0.0000,0,0,0
416,ASL,The Annasaheb Savant Co-op Urban Bank Mahad Ltd,41347,0.0000,0,0,0
417,PCI,Peoples Urban Co-operative Bank Ltd,39836,0.0080,3,2,1
418,YBC,Yes Bank Credit Card,39582,0.0000,0,0,0
419,JUB,The Jamkhandi Urban Co-Operative Bank Ltd,39499,0.0000,0,0,0
420,COC,Contai Cooperative bank Ltd,39315,0.0000,0,0,0
421,SUD,Sudha Co-Operative Urban Bank Ltd,39138,0.0030,1,1,0
422,COR,THE CO-OPERATIVE BANK OF RAJKOT LTD,38553,0.0160,6,6,0
423,NSG,Nagrik Sahakari Maryadit Gwalior,37828,0.0000,0,0,0
424,KSM,KASHMIR MERCANTILE CO OPERATIVE BANK LTD,37078,0.0000,0,0,0
425,JUN,The Junagadh Commercial Co-Operative Bank Ltd,36987,0.0000,0,0,0
426,LNS,Lokvikas Nagari Sahakari Bank Ltd Aurangabad,36949,0.0050,2,2,0
427,SHP,SHP,36940,0.0000,0,0,0
428,GUN,THE GUNTUR COOPERATIVE URBAN BANK LTD,36737,0.0000,0,0,0
429,VRD,VARDHAMAN MAHILA CO OPERATIVE URBAN BANK LTD,36505,0.0000,0,0,0
430,PTN,Patan nagarik Sahakari Bank Ltd,36074,0.0000,0,0,0
431,SDB,SADHANA SAHAKARI BANK LTD YES BANK,34816,0.0140,5,5,0
432,APA,The Ashta Peoples Co-op Bank Ltd Ashta,34768,0.0000,0,0,0
433,PTP,The Pratap Co-operative Bank Ltd,34717,0.0000,0,0,0
434,PLB,Pali Urban Co-Operative Bank Limited,34707,0.0030,1,1,0
435,MNG,Mansing Co-operative Bank Ltd,34451,0.0000,0,0,0
436,KKC,KANYAKUMARI DISTRICT CENTRAL COOPERATIVE BANK,33929,0.0000,0,0,0
437,SUL,The Sultans Battery Co-operative Urban Bank Ltd,33676,0.0000,0,0,0
438,HMT,Himatnagar Nagarik Sahakari Bank Ltd,33584,0.0000,0,0,0
439,PMC,The Pimpalgaon Merchants Co operative Bank Ltd,33337,0.0000,0,0,0
440,LAK,MAHALAKSHMI CO-OPERATIVE BANK LIMITED,32778,0.0000,0,0,0
441,SLM,The Sarvodaya Sahakari Bank Ltd Modasa,31847,0.0000,0,0,0
442,BNG,Baran Nagrik Sahakari Bank Ltd,31817,0.0000,0,0,0
443,SDR,Sandur Pattana Souharda Sahakari Bank Ni,31785,0.0000,0,0,0
444,IPC,Indore Premier Co operative Bank Ltd,31752,0.0000,0,0,0
445,SCO,SAMATA CO OPERATIVE DEVELOPMENT BANK LTD,31582,0.0700,22,3,19
446,SSS,SREENIDHI SOUHARDA SAHAKARI BANK NIYAMITHA,30941,0.0060,2,2,0
447,UMS,UDAIPUR MAHILA SAMRUDHI URBAN COOP BANK LTD,30912,0.0000,0,0,0
448,RPT,Rajkot Peoples Cooperative Bank Ltd,30769,0.0030,1,1,0
449,SWB,Shri Swami Samarth Sahakari Bank Ltd,30762,0.0000,0,0,0
450,RSC,THE RAJASTHAN STATE CO OPERATIVE BANK LTD,30701,0.0000,0,0,0
451,SML,SHRI MAHALAXMI COOPERATIVE BANK LTD KOLHAPUR,30690,0.0000,0,0,0
452,SRT,The Surat Mercantile Co-op Bank Ltd,30615,0.0000,0,0,0
453,TSL,The Shoranur Co Operative Urban Bank Ltd,30529,0.0000,0,0,0
454,JSC,JANATHA SEVA CO OPERATIVE BANK LTD,30155,0.0000,0,0,0
455,UDB,The Udupi Co Operative Town Bank Ltd,29690,0.0000,0,0,0
456,VBM,Vaishya Sahakari Bank Ltd,29616,0.0000,0,0,0
